# node id, temperature, exact temp.
      366,   3.583e-02,   3.583e-02
      367,   3.593e-02,   3.593e-02
      368,   3.603e-02,   3.603e-02
      369,   3.612e-02,   3.612e-02
      370,   3.622e-02,   3.622e-02
      371,   3.632e-02,   3.632e-02
      372,   3.641e-02,   3.641e-02
      373,   3.651e-02,   3.651e-02
      374,   3.660e-02,   3.660e-02
      375,   3.670e-02,   3.670e-02
      376,   3.680e-02,   3.680e-02
      377,   3.689e-02,   3.689e-02
      378,   3.699e-02,   3.699e-02
      379,   3.709e-02,   3.709e-02
      380,   3.718e-02,   3.718e-02
      381,   3.728e-02,   3.728e-02
      382,   3.737e-02,   3.737e-02
      383,   3.747e-02,   3.747e-02
      384,   3.757e-02,   3.757e-02
      385,   3.766e-02,   3.766e-02
      386,   3.776e-02,   3.776e-02
      387,   3.786e-02,   3.786e-02
      388,   3.795e-02,   3.795e-02
      389,   3.805e-02,   3.805e-02
      390,   3.814e-02,   3.814e-02
      391,   3.824e-02,   3.824e-02
      392,   3.834e-02,   3.834e-02
      393,   3.843e-02,   3.843e-02
      394,   3.853e-02,   3.853e-02
      395,   3.862e-02,   3.862e-02
      396,   3.872e-02,   3.872e-02
      397,   3.882e-02,   3.882e-02
      398,   3.891e-02,   3.891e-02
      399,   3.901e-02,   3.901e-02
      400,   3.910e-02,   3.910e-02
      401,   3.920e-02,   3.920e-02
      402,   3.930e-02,   3.930e-02
      403,   3.939e-02,   3.939e-02
      404,   3.949e-02,   3.949e-02
      405,   3.958e-02,   3.958e-02
      406,   3.968e-02,   3.968e-02
      407,   3.978e-02,   3.978e-02
      408,   3.987e-02,   3.987e-02
      409,   3.997e-02,   3.997e-02
      410,   4.006e-02,   4.006e-02
      411,   4.016e-02,   4.016e-02
      412,   4.026e-02,   4.026e-02
      413,   4.035e-02,   4.035e-02
      414,   4.045e-02,   4.045e-02
      415,   4.054e-02,   4.054e-02
      416,   4.064e-02,   4.064e-02
      417,   4.073e-02,   4.073e-02
      418,   4.083e-02,   4.083e-02
      419,   4.093e-02,   4.093e-02
      420,   4.102e-02,   4.102e-02
      421,   4.112e-02,   4.112e-02
